intent_name,user_says
faq_order_penjual_request_ubah_resi_saat_status_delivered,"saya tidak bisa ubah resi karena status sudah terkirim, padahal ada kekeliruan input"
faq_order_penjual_request_ubah_resi_saat_status_delivered,"ada kesalahan saat input resi, saya lampirkan resinya mohon bantu update"
faq_order_penjual_request_ubah_resi_saat_status_delivered,"tolong bantu ubah nomor resi ya min, status sudah terkirim jadi saya tidak bisa ubah"
faq_order_penjual_request_ubah_resi_saat_status_delivered,mau ubah resi tidak bisa karena status sudah terkirim. minta bantuannya ya
faq_order_penjual_request_ubah_resi_saat_status_delivered,"nomor resi yang diinput keliru, tolong bantu ubah ya"
faq_order_penjual_request_ubah_resi_saat_status_delivered,"Komplain invoice dibawah sudah saya kirim ulang kekurangannya, tapi sudah ga bisa input resi INVIDTAG INVIDTAG"
faq_order_penjual_request_ubah_resi_saat_status_delivered,mohon bantuan untuk merubah no resi
faq_order_penjual_request_ubah_resi_saat_status_delivered,"kemarin saya salah input no resi untuk transaksi penjualan saya, berhubung status paket delivered jadi sy gak bisa revisi no resinya, mohon bantuannya"
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,"kenapa pengajuan flash sale saya ditolak dari tokopedia, produknya udah sesuai ketentuan loh"
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,kenapa produk saya ditolak ikut flash sale padahal sudah memenuhi syarat
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,apakah pendaftaran flash sale saya udah diterima atau belum
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,mengapa produk flash sale yang saya ajukan tidak diterima ya
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,apakah produk yang saya daftarkan flash sale diterima atau ditolak?
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,flash sale yang saya ajukan kemarin kok belum ada kabar ya
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,gimana status pengajuan flash sale saya kemarin? belum ada konfirmasi
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,"flash sale yang saya ajukan kok ditolak, alasannya apa ya"
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,udah isi dan kirim form pengajuan flash sale tapi belum ada kabar
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,"kok produk saya tidak diterima buat flash sale, apa kurangnya"
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,produk yang saya ajukan untuk flash sale sudah diterima belum ya
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,"bagaimana kabar pengajuan flash sale saya, saya tidak tau apakah di approve atau tidak"
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,kenapa ya kok pengajuan flash sale ku dibatalin sama tokopedia
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,"kok pengajuan flash sale saya ditolak sih min, padahal kan produknya udah mengikuti syarat"
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,kenapa pengajuan flash sale saya tidak diterima? padahal sudah sesuai sama kriteria
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,"kenapa pengajuan flash sale saya kok ditolak ya, apakah ada yang belum memenuhi ketentuan"
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,gimana status pendaftaran flash sale saya kemarin?
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,produk flash sale yang saya ajukan kok tidak diterima kenapa ya
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,kenapa sih pengajuan flash sale saya kok ditolak gitu aja? saya bahkan sudah penuhi kriteria
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,pendaftaran flash sale saya ditolak padahal sudah mengikuti ketentuan
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,kenapa produk ini ditolak buat ikut flash sale alasannya apa
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,"apakah pengajuan flash sale saya diterima atau ditolak, belum ada kabar sampe sekarang"
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,bisa jelaskan? kenapa pengajuan flash sale saya ditolak
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,mengapa produk saya tidak diterima buat flash sale
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,"saya ngajuin flash sale, mohon bantu cek apakah status nya udah diterima"
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,mengapa pengajuan flash sale produk saya ditolak sama tokopedia ya?
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,apa alesan produk flash sale saya ditolak
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,kenapa ya pengajuan flash sale saya ditolak
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,apa alasan produk ini ditolak ikut flash sale
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,apa sudah ada info tentang pengajuan flash sale saya ya?tolong di cek
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,apa sudah ada kabar tentang pengajuan flash sale dari akun saya
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,bagaimana tentang status pendaftaran produk flash sale saya
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,pengajuan flash sale belum diterima
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,"pengajuan flash sale saya belum di tanggapi tokopedia, mohon bantuannya"
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,pengajuan flash sale belum ada info lebih lanjut dari toped
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,saya udah ajukan flash sale dan isi formulir tapi belum ada info apa-apa
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,pengajuan flash sale saya belum di konfirmasi
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,pengajuan flash sale saya kok belum ditanggapi ya
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,formulir flash sale yang sudah saya kirim belum ada kabar
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,pendaftaran flash sale belum disetujui
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,"pendaftaran formulir flash sale belum ada info lanjut nih, gimana statusnya"
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,sudah mendaftar flash sale tapi sampai sekarang belum dikonfirmasi
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,pendaftaran flash sale sudah dilakukan tapi belum dapat info lagi
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,saya udah isi form flash sale tapi belum ada konfirmasi
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,pendaftaran flash sale saya belum ditanggapi
flash_sale_pengajuan_belum_dikonfirmasi_atau_ditolak,pengajuan form flash sale saya belum dapat konfirmasi dari tokopedia
faq_play_cara_matiin_fitur_shake,nonaktifkan fitur shake2
faq_play_cara_matiin_fitur_shake,nonaktifkan fitur shake
faq_play_cara_matiin_fitur_shake,nonaktifkan shake2
faq_play_cara_matiin_fitur_shake,cara matikan shake
faq_play_cara_matiin_fitur_shake,cara matiin fitur shake
faq_play_cara_matiin_fitur_shake,nonaktifkan shake shake
faq_play_cara_matiin_fitur_shake,cara matiin shake
faq_play_cara_matiin_fitur_shake,cara matiin shake shake
faq_play_cara_matiin_fitur_shake,cara matiin shake2
faq_play_cara_matiin_fitur_shake,cara matikan shake2
faq_play_cara_matiin_fitur_shake,shake shakenya matiin dong
faq_play_cara_matiin_fitur_shake,tolong matikan shake shake
faq_play_cara_matiin_fitur_shake,matikan shake shake
faq_play_cara_matiin_fitur_shake,cara matikan shake shake
faq_play_cara_matiin_fitur_shake,Saya mau matiin fitur shake-shake gimana caranya?
faq_play_cara_matiin_fitur_shake,Fitur shake-shake nya mau saya matiin gimana caranya
faq_play_cara_matiin_fitur_shake,Saya mau matiin fitur shake gimana ya caranya?
faq_play_cara_matiin_fitur_shake,Kalo saya mau matiin fitur shake-shakenya gimana
faq_play_cara_matiin_fitur_shake,Gimana caranya matiin fitur shake-shake
faq_play_cara_matiin_fitur_shake,Gimana cara matiin fitur shake-shake
faq_play_cara_matiin_fitur_shake,Menonaktifkan fitur shake gimana caranya
faq_play_cara_matiin_fitur_shake,Menonaktifkan fitur shake
faq_play_cara_matiin_fitur_shake,Menonaktifkan fitur shake-shake
faq_play_cara_matiin_fitur_shake,Matiin fitur shake-shake gimana caranya
faq_play_cara_matiin_fitur_shake,Saya mau matiin fitur shake-shake
faq_play_cara_matiin_fitur_shake,Saya mau matiin fitur shake2
faq_play_cara_matiin_fitur_shake,Matiin shake2
faq_play_cara_matiin_fitur_shake,Matiin fitur shake-shake
faq_play_cara_matiin_fitur_shake,Matiin fitur shake2
faq_play_cara_matiin_fitur_shake,"Min, gimana caranya matiin fitur shake2"
faq_play_cara_matiin_fitur_shake,Kalo saya mau matiin fitur shake2 ini gmn caranya?
faq_play_cara_matiin_fitur_shake,"Mau saya matiin fitur shake2 nya, gimana caranya?"
faq_play_cara_matiin_fitur_shake,"Saya mau matiin fitur shake2 di hp saya nih karena ganggu bgt lagi belanja, gimana caranya?"
faq_play_cara_matiin_fitur_shake,"Saya mau matiin fitur shake2 nih min karena ganggu bgt, gimana ya caranya?"
faq_play_cara_matiin_fitur_shake,"Saya mau matiin fitur shake2, gimana ya caranya?"
faq_play_cara_matiin_fitur_shake,"Gimana cara matiin fitur shake ini ya? Very annoying, sangat mengganggu"
faq_play_cara_matiin_fitur_shake,"Shake ini sangat mengganggu sekali, saya lagi pilih barang tp masuk ke shake2"
faq_play_cara_matiin_fitur_shake,"Saya udah pilih-pilih barang malah ke shake-shake mulu, sangat mengganggu sekali"
faq_play_cara_matiin_fitur_shake,"Saya lagi asik belanja malah masuk ke shake-shake mulu deh, tolong matiin dong fitur shake-shake nya"
faq_play_cara_matiin_fitur_shake,"Shake-shake ini sangat mengganggu sekali, gimana caranya kalo saya mau matiin fitur ini?"
faq_play_cara_matiin_fitur_shake,"Shake-shake mengganggu sekali, gimana cara matiin fiturnya?"
faq_play_cara_matiin_fitur_shake,"Gimana ya caranya matiin fitur shake2 ini, mengganggu sekali!"
faq_play_cara_matiin_fitur_shake,"Tolong matiin dong fitur shake2 ini, sangat mengganggu saya yg sedang asyik berbelanja"
faq_play_cara_matiin_fitur_shake,"Fitur shake2 ini mengganggu sekali, saya lagi asyik belanja malah masuk ke shake2"
faq_play_cara_matiin_fitur_shake,Gimana ya cara matiin fitur shake2 di aplikasi saya? Saya lagi belanja malah ke ganggu nih
faq_play_cara_matiin_fitur_shake,"Fitur shake2 ini sangat mengganggu saya yg sedang asik belanja, sangat mengganggu"
faq_play_cara_matiin_fitur_shake,"Saya mau matiin fitur shake2 ini dong, caranya gimana ya?"
faq_play_cara_matiin_fitur_shake,Gimana cara matiin fitur shake2 ini ya? Sangat mengganggu sekali
faq_play_cara_matiin_fitur_shake,"Tolong matikan fitur shake2 ini, saya lagi cari barang mau belanja malah shake2, matiin"
faq_play_cara_matiin_fitur_shake,"Saya lagi asik2 belanja malah masuk ke shake2, sangat mengganggu sekali"
faq_play_cara_matiin_fitur_shake,"Gimana ya cara matiin fitur shake-shake ini, saya merasa terganggu sekali"
faq_play_cara_matiin_fitur_shake,tolong hentikan shake shake itu. menggangu lagi belanja produkk…
faq_play_cara_matiin_fitur_shake,"Siang tokopedia, apa boleh saya komplain aplikasi? Saya sangat terganggu sekali dgn fitur shake-shake yg selalu keluar berulang tanpa jeda. Jadi saya gak bisa mau transaksi karna selalu terganggu dgn shake2 itu. Saya mau tanya dong gimana turn off shake2 itu? Apa aplikasinya harus di uninstal dulu?"
faq_play_cara_matiin_fitur_shake,shake shake mengganggu sekali. sudah banyak yg komplen
faq_play_cara_matiin_fitur_shake,shake and shake dan bbrp program lain seperti join chat dsb sering sekali pop up dan sangat mengganggu di gadget saya. ketika saya harus melakukan transaksi harus saya tunda karena masalah tsb yg sangat mengganggu. alhasil saya kadang lupa utk melanjutkan transaksi. mohon saran dan perbaikan.
faq_play_cara_matiin_fitur_shake,shake2 sangat mengganggu bila ingin melihat2 produk karena muncul terus menerus
faq_play_cara_matiin_fitur_shake,"shake2 menyala terus di hp saya, sangat mengganggu, bisa dimatikan ?"
faq_play_cara_matiin_fitur_shake,saya sudah buka Tokopedia terganggu shake mohon bantu
faq_play_cara_matiin_fitur_shake,"saya ga tau musti minta bantuan kmn? ini terkait shake2. setiap sy buka aplikasi toped, pasti balik ke shake2. sy cukup terganggu krn shake2 ini muncul mll setiap sy mw liat2 barang yg ada di toped. solusi na apa supaya tidak muncul shake2 ini? krn mau ga mau,,sy musti ulang dr awal utk buka ke toko yg sy ingin tuju, krn muncul shake2 ini"
faq_play_cara_matiin_fitur_shake,harusnya ada menu menonaktifkan promo shake shake ini.. ga butuh saya mah
faq_play_cara_matiin_fitur_shake,sangat mengganggu promo shake shake ini.. ketika kita lagi asik asiknya mencari barang
faq_play_cara_matiin_fitur_shake,"pouo shake shake mengganggu ketika melakukan transaksi. tolong cara menon aktifkannya
 program shake shake mengganggu,bisa tidak buatkan menu khusus utk yang mau belanja atau menggunakan fitur shake shake sendiri..krn fitur ini selain mebuat boros baterai juga mengganggu pengguna utk memilih produk yg di jual di Tokopedia"
faq_play_cara_matiin_fitur_shake,"Pagi, sy mau tanya, bagaimana cara menghentikan shake2 di aplikasi tokopedia, krn sy sangat terganggu. Setiap buka app tokped selang berapa detik selalu layar/tampilan beralih ke shake2 dgm sendirinya, jd sy sama sekali ga bisa menjelajahi Tokopedia. Ini smcm virus yg sbntar2 bgetar lalu merubah tampian/halaman. Sy sudah coba uninstall app, kemudian download lg tp tetap saja begitu, malah sekarang sy ga bisa login krn tiap mau login halaman berganti shake2 dgn sendirinya. Menyebalkan. Minta solusi nya!!!!!!!!"
faq_order_cara_terima_sebagian,Bagaimana langkah terima sebagian pesanan karena produk saya hanya ada sebagian
faq_order_cara_terima_sebagian,"cara terima sebagian pesanan gimana ya, min?"
faq_order_cara_terima_sebagian,"saya ingin pesanannya tetap diproses, tapi bagaimana caranya kalau mau kirim sebagian saja?"
faq_order_cara_terima_sebagian,bagaimana cara terima sebagian pesanan
faq_order_cara_terima_sebagian,bagaimana cara terima pesanan sebagian
faq_order_cara_terima_sebagian,"pembeli pesan 20 pcs tapi saya cuma ada 15, gimana cara saya memproses sebagian yang ready saja?"
faq_order_cara_terima_sebagian,gimana cara ambil sebagian pesanan dari pembeli tanpa harus membatalkan?
faq_order_cara_terima_sebagian,"kalau mau terima sebagian pesanan, gimana caranya ya?"
faq_order_cara_terima_sebagian,Gimana cara terima sebagian pesanan?
faq_order_cara_terima_sebagian,kalau mau kirim pesanan sebagian saja gimana caranya?
faq_order_cara_terima_sebagian,kalau ada pembeli beli di toko kami. beberapa barang misal total ongkir 2kg. kemudian ada barang yg kosong ditempa kami. kemudian kami kirim kan barang dengan berat 1kg. lalu apakah kami mengembalikan sisa berat (1kg) ke pembeli?
faq_refund_berapa_lama_pengembalian_dana,Refund blom diterima
faq_refund_berapa_lama_pengembalian_dana,refund kartu kredit berapa lama?
faq_refund_berapa_lama_pengembalian_dana,"selamat pagi, apakah dana saya sudah masuk ?"
faq_refund_berapa_lama_pengembalian_dana,Kapan dana saya di-refund ini udh lebih 2x24 jam tp blm ada dana masuk
faq_refund_berapa_lama_pengembalian_dana,kpn dna sy di rfd
faq_refund_berapa_lama_pengembalian_dana,mau tarik dana kok lama banget ya
faq_refund_berapa_lama_pengembalian_dana,lamanya refund
faq_refund_berapa_lama_pengembalian_dana,dana belum dikembalikan boss...lama bangettt
faq_refund_berapa_lama_pengembalian_dana,kapan dana refund saya di kembalikan
faq_refund_berapa_lama_pengembalian_dana,brapa lama proses refud
faq_refund_berapa_lama_pengembalian_dana,kapan dana di-refund
faq_refund_berapa_lama_pengembalian_dana,kapan refund
faq_refund_berapa_lama_pengembalian_dana,berapa lama pengembalian dana
faq_refund_berapa_lama_pengembalian_dana,berapa lama batas maksimal pengembalian dana yah?
faq_refund_berapa_lama_pengembalian_dana,kpn rfnd
faq_refund_berapa_lama_pengembalian_dana,kq pengembalian dananya lama sekali
faq_refund_berapa_lama_pengembalian_dana,kalau refund CC berapa lama?
faq_refund_berapa_lama_pengembalian_dana,berapa lama proses pengembalian dana nya ?
faq_refund_berapa_lama_pengembalian_dana,mau nanya kapan dana saya dikembalikan
faq_refund_berapa_lama_pengembalian_dana,karna kelebihan dana lama tidak di verifikasi
faq_refund_berapa_lama_pengembalian_dana,ka saya mau tanya ko lama ya pencairan dana saya
faq_refund_berapa_lama_pengembalian_dana,kok uang saya belum balik
faq_refund_berapa_lama_pengembalian_dana,kapan uang saya kembali?
faq_refund_berapa_lama_pengembalian_dana,di refund kpn
faq_refund_berapa_lama_pengembalian_dana,dalam waktu brp lama dana kembali?
faq_refund_berapa_lama_pengembalian_dana,berapa lama proses penarikan dananya?
faq_refund_berapa_lama_pengembalian_dana,berapa lama proses refund
faq_refund_berapa_lama_pengembalian_dana,kapan ya dana refund saya dikembalikan
faq_refund_berapa_lama_pengembalian_dana,pengembalian dana
faq_refund_berapa_lama_pengembalian_dana,kapan dana refund saya dikembalikan
faq_refund_berapa_lama_pengembalian_dana,refund transfer bank berapa lama
faq_refund_berapa_lama_pengembalian_dana,"selamat sore pak, dana saya kok belum kembali"
faq_refund_berapa_lama_pengembalian_dana,belum juga kembali dananya qo lama sih?
faq_refund_berapa_lama_pengembalian_dana,kpn dn sy di rfnd
faq_refund_berapa_lama_pengembalian_dana,pencairan dana kok lama punya saya gk masuk2?
faq_refund_berapa_lama_pengembalian_dana,mau tanya dong kapan dana saya dikembalikan?
faq_refund_berapa_lama_pengembalian_dana,lama proses refund dana kartu kredit
faq_refund_berapa_lama_pengembalian_dana,direfund kpn
faq_refund_berapa_lama_pengembalian_dana,diinfo uang belum kembali
faq_refund_berapa_lama_pengembalian_dana,knp skg penarikan dana ke bca bisa lama
faq_refund_berapa_lama_pengembalian_dana,brp lm proses refund nya
faq_refund_berapa_lama_pengembalian_dana,berapa hari refund nya
faq_refund_berapa_lama_pengembalian_dana,"slamat sore, kak.. ini blum masuk2 dananya.."
faq_refund_berapa_lama_pengembalian_dana,berapa lama refund
faq_refund_berapa_lama_pengembalian_dana,berapa lama estimasi dana akan sampai
faq_refund_berapa_lama_pengembalian_dana,kapan direfund
faq_refund_berapa_lama_pengembalian_dana,kapan dana refund saya di-kembalikan
faq_refund_berapa_lama_pengembalian_dana,direfund kapan
faq_refund_berapa_lama_pengembalian_dana,"pengembalian dana kira"" berapa lama ya kak"
faq_refund_berapa_lama_pengembalian_dana,tarik dana kok tumben lama banget y
faq_refund_berapa_lama_pengembalian_dana,berapa lama proses refund ini
faq_refund_berapa_lama_pengembalian_dana,kapan di-refund
faq_refund_berapa_lama_pengembalian_dana,kapan dana refund saya akan kembalik
faq_refund_berapa_lama_pengembalian_dana,kapan dana saya direfund
faq_refund_berapa_lama_pengembalian_dana,kapan dana saya d'refund
faq_refund_berapa_lama_pengembalian_dana,kpn direfund
faq_refund_berapa_lama_pengembalian_dana,kapan dana refund saya akan kembali
faq_refund_berapa_lama_pengembalian_dana,twittertag pengembalian dananya brapa lama?
faq_refund_berapa_lama_pengembalian_dana,kalau refund bca klik pay berapa lama?
faq_refund_berapa_lama_pengembalian_dana,berapa lama di refund
faq_refund_berapa_lama_pengembalian_dana,biasanya dana akan balik berapa lama ya
faq_refund_berapa_lama_pengembalian_dana,dana saya di refund dan dikembalikannya kapan
faq_refund_berapa_lama_pengembalian_dana,status udah 1bulan
faq_refund_berapa_lama_pengembalian_dana,dana kok lama kembali ke kartu kredit...??
faq_refund_berapa_lama_pengembalian_dana,mau tanya kapan dana refund saya dikembalikan
faq_refund_berapa_lama_pengembalian_dana,Admin mau tanya sejak saya perbarui toped saya kok saldo tidak langsung masuk ya. padahal sebelumnya saldo langsung masuk dan saya bisa langsung gunakan buat belanja lagi di toped juga. minta penjelasannya ya Min
faq_refund_berapa_lama_pengembalian_dana,hallo ingin tarik dana dulu kalau lama
faq_refund_berapa_lama_pengembalian_dana,dana saya kapan di refund
faq_refund_berapa_lama_pengembalian_dana,mau nanya dong kapan dana saya di refund dan di kembalikan
faq_refund_berapa_lama_pengembalian_dana,batalnya udah lama tp dana kok blm kembali??
faq_refund_berapa_lama_pengembalian_dana,min. pengembalian dana berapa lama waktunya?
faq_refund_berapa_lama_pengembalian_dana,dana refund saya kembalinya kapan
faq_refund_berapa_lama_pengembalian_dana,belum masuk dana nya... kok lama ya
faq_refund_berapa_lama_pengembalian_dana,lama proses pencairan dana saya ditokopedia
faq_refund_berapa_lama_pengembalian_dana,kpnd di-refund
faq_refund_berapa_lama_pengembalian_dana,kpn di refund
faq_refund_berapa_lama_pengembalian_dana,terlalu lama untuk proses pengembalian dana...
faq_refund_berapa_lama_pengembalian_dana,di-refund kapan
faq_refund_berapa_lama_pengembalian_dana,terima kasih..kira2 pengembalian dana brp lama?
faq_refund_berapa_lama_pengembalian_dana,belum di-refund
faq_refund_berapa_lama_pengembalian_dana,buat refund pembayaran instant berapa lama ya?
faq_refund_berapa_lama_pengembalian_dana,kapan di refund
faq_refund_berapa_lama_pengembalian_dana,saya pake kartu kredit min
faq_refund_berapa_lama_pengembalian_dana,kapan dana di refund
faq_refund_berapa_lama_pengembalian_dana,kpn di-refund
faq_refund_berapa_lama_pengembalian_dana,tumben lama ya proses pencairan dananya
faq_refund_berapa_lama_pengembalian_dana,mengapa sangat lama mengembalikan dananya ?
faq_refund_berapa_lama_pengembalian_dana,refund dana saya akan dikembalikan kapan
faq_refund_berapa_lama_pengembalian_dana,lama sekali proses refund dana saya
faq_refund_berapa_lama_pengembalian_dana,untuk penarikan dana memakan waktu berapa lama?
faq_refund_berapa_lama_pengembalian_dana,di-refund kpn
faq_refund_berapa_lama_pengembalian_dana,brapa lama yah pengembalian dananya?
faq_refund_berapa_lama_pengembalian_dana,waduh... proses brp lama min dananya masuk?
faq_refund_berapa_lama_pengembalian_dana,kapan di refund dan di kembalikan dana saya?
faq_refund_berapa_lama_pengembalian_dana,kapan dana refund saya kembali
faq_refund_berapa_lama_pengembalian_dana,selamat pagi.apakah dana saya sudah dikembalikan?
faq_refund_berapa_lama_pengembalian_dana,kapan dana akan dikembalikan
faq_refund_berapa_lama_pengembalian_dana,waktu nunggu untuk tarik dana berapa lama ya pak
faq_refund_berapa_lama_pengembalian_dana,dana refund saya kapan akan dikembalikan
faq_refund_berapa_lama_pengembalian_dana,Kapan dana saya di refund ini udh lebih 2x24 jam tp blm ada dana masuk
faq_refund_berapa_lama_pengembalian_dana,di refund kapan dana saya
faq_refund_berapa_lama_pengembalian_dana,nanya dong kpn refund saya dikembalikan
faq_refund_berapa_lama_pengembalian_dana,berapa lama proses pengembalian dana
